SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,PAGRINDINE_ZONA_PAV,PAGRINDINE_ZONOS_KODAS,PAGRINDINE_U_INTENS,PAGRINDINE_MAX_AUK_SK,PAGRINDINE_PAGR_PASK,PAGRINDINE_BP_OBJ_NR,PAGRINDINE_ZONOS_PROC,ANTRA_ZONA_PAV,ANTRA_ZONOS_KODAS,ANTRA_ZONOS_PROC,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc
550100010113,440027447950,0.463,KlaipÓdos r. sav. LadeikiÖ k. Liepos g. 8,995,4630.49,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100010202,440031114233,0.3055,KlaipÓdos r. sav. LadeikiÖ k.,610,3055.0,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100010429,550100010429,3.6372,KlaipÓdos r. sav. LadeikiÖ k.,610,36371.88,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,98.62,Miškų ir miškingų teritorijų zona,MI_F,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100010648,440018127418,1.1,KlaipÓdos r. sav. LadeikiÖ k.,610,12931.51,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100010654,440019654763,0.42,KlaipÓdos r. sav. LadeikiÖ k.,610,4563.7,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100020006,550100020006,8.1921,KlaipÓdos r. sav. LvaginiÖ k.,610,81921.38,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,62.06,Miškų ir miškingų teritorijų zona,MI_F,33.59,100.0,0.0,0.0,0.0,39.09,0.0,0.0,0.0
550100020030,550100020030,13.3634,KlaipÓdos r. sav. LaigiÖ k.,610,133633.97,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,60.49,Miškų ir miškingų teritorijų zona,MI_F,30.42,16.68,0.0,0.0,0.0,16.56,0.0,0.0,0.0
550100020044,550100020044,2.68,KlaipÓdos r. sav. TickinÖ k.,710,26800.25,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,495,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100030049,550100030049,1.81,KlaipÓdos r. sav. DausynÖ k.,710,20316.73,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,477,95.36,Žemės ūkio teritorijų zona,ZU_F,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100030222,440005895110,1.15,KlaipÓdos r. sav. LiUiÖ k.,610,12446.88,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550100040054,550100040054,1.2627,KlaipÓdos r. sav. LadeikiÖ k.,610,12627.23,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550300010031,550300010031,6.53,KlaipÓdos r. sav. GrobÕtÖ k.,610,67697.98,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550300010103,440045092251,0.4821,KlaipÓdos r. sav. PoÕkÖ k.,610,4820.85,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,134,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
