SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,BP_ZONA_PAV,BP_ZONOS_KODAS,U_INTENS,MAX_AUK_SK,PAGR_PASK,BP_OBJ_NR,SKLYPO_PLOTAS_M2,SUSIKIRTIMO_PLOTAS_M2,SUSIKIRTIMO_PROC
550100010197,550100010197,1.7004,KlaipÓdos r. sav. LadeikiÖ k.,610,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,"0,4*",0,KT,494,17003.73,10504.9,61.78
550100010197,550100010197,1.7004,KlaipÓdos r. sav. LadeikiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,477,17003.73,6459.61,37.99
550100010197,550100010197,1.7004,KlaipÓdos r. sav. LadeikiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,478,17003.73,22.62,0.13
550100010197,550100010197,1.7004,KlaipÓdos r. sav. LadeikiÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M,567,17003.73,16.6,0.1
550100020103,440030544016,0.5679,KlaipÓdos r. sav. LaigiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,5678.08,5678.08,100.0
550100020175,440004922389,6.8604,KlaipÓdos r. sav. LaigiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,68603.55,68603.55,100.0
550100020203,440012153229,0.25,KlaipÓdos r. sav. LaigiÖ k. Ablingos g. 25,995,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,2499.9,2499.9,100.0
550100020204,440012153248,2.9648,KlaipÓdos r. sav. LaigiÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,29646.94,29646.94,100.0
550100040082,550100040082,19.4194,KlaipÓdos r. sav. LemguliÖ k.,710,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,481,194195.15,151069.32,77.79
550100040082,550100040082,19.4194,KlaipÓdos r. sav. LemguliÖ k.,710,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,482,194195.15,43125.84,22.21
550170010001,440045611389,6.7159,KlaipÓdos r. sav. TickinÖ k.,995,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,496,67159.34,39598.76,58.96
550170010001,440045611389,6.7159,KlaipÓdos r. sav. TickinÖ k.,995,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,495,67159.34,27560.58,41.04
550500010001,550500010001,3.2973,KlaipÓdos r. sav. GedminÖ k.,610,Žemės ūkio teritorijų zona,ZU_F,"0,05;0,8***",0,Z;KT,173,32972.9,17075.01,51.78
550500010001,550500010001,3.2973,KlaipÓdos r. sav. GedminÖ k.,610,Miškų ir miškingų teritorijų zona,MI_F,0,0,M;KT,170,32972.9,8135.56,24.67
