SKLYPO_ID,UNIKAL_ID,PLOTAS_REG,ADRESAS,PASK_TIP,SKLYPO_PLOTAS_M2,zonu_kiekis,pagrindine_zona_pavadinimas,pagrindine_zona_kodas,pagrindine_zona_proc,pagrindine_u_intens,pagrindine_max_auk_sk,pagrindine_pagr_pask,antra_zona_pavadinimas,antra_zona_kodas,antra_zona_proc,ar_yra_gyvenamoji_zona,ar_yra_zemes_ukio_zona,ar_yra_misku_zona,ar_yra_pramones_zona,draustiniu_proc,rezervatu_proc,parku_proc,biosferos_poligonu_proc,bast_proc,past_proc,pajurio_juostos_proc,buferiniu_apsaugos_zonu_proc,misko_proc,ar_yra_miskas_proc
550100010197,550100010197,1.7004,KlaipÓdos r. sav. LadeikiÖ k.,610,17003.73,4,Mažo užstatymo intensyvumo gyvenamoji zona,U_GG_M_F,61.78,"0,4*",0,KT,Miškų ir miškingų teritorijų zona,MI_F,37.99,1,1,1,0,0.0,0.0,0.0,0.0,38.38,0.0,0.0,0.0,37.97,1
550100020103,440030544016,0.5679,KlaipÓdos r. sav. LaigiÖ k.,610,5678.08,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550100020175,440004922389,6.8604,KlaipÓdos r. sav. LaigiÖ k.,610,68603.55,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550100020203,440012153229,0.25,KlaipÓdos r. sav. LaigiÖ k. Ablingos g. 25,995,2499.9,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550100020204,440012153248,2.9648,KlaipÓdos r. sav. LaigiÖ k.,610,29646.94,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550100040082,550100040082,19.4194,KlaipÓdos r. sav. LemguliÖ k.,710,194195.15,2,Miškų ir miškingų teritorijų zona,MI_F,77.79,0,0,M;KT,Žemės ūkio teritorijų zona,ZU_F,22.21,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.71,1
550170010001,440045611389,6.7159,KlaipÓdos r. sav. TickinÖ k.,995,67159.34,2,Žemės ūkio teritorijų zona,ZU_F,58.96,"0,05;0,8***",0,Z;KT,Miškų ir miškingų teritorijų zona,MI_F,41.04,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76,1
550500010001,550500010001,3.2973,KlaipÓdos r. sav. GedminÖ k.,610,32972.9,3,Žemės ūkio teritorijų zona,ZU_F,51.78,"0,05;0,8***",0,Z;KT,Miškų ir miškingų teritorijų zona,MI_F,24.67,0,1,1,0,78.05,0.0,0.0,0.0,88.43,98.37,0.0,0.0,16.75,1
550500010066,550500010066,1.0202,KlaipÓdos r. sav. BaiNiÖ k.,610,10202.07,3,Žemės ūkio teritorijų zona,ZU_F,84.23,"0,05;0,8***",0,Z;KT,Vandenų zona,H_F,12.63,0,1,1,0,38.95,0.0,0.0,0.0,38.88,21.54,0.0,0.0,3.14,1
550500010129,440003684515,0.2586,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 55,995,2586.87,3,Miškų ir miškingų teritorijų zona,MI_F,46.5,0,0,M;KT,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,41.78,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.92,1
550500010166,440006817283,0.5813,KlaipÓdos r. sav. GedminÖ k.,710,5812.9,2,Miškų ir miškingų teritorijų zona,MI_F,84.73,0,0,M;KT,Vandenų zona,H_F,15.27,0,0,1,0,100.0,0.0,0.0,0.0,99.97,90.79,0.0,0.0,84.73,1
550500010346,440015270596,0.1071,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 53,995,1070.85,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550500010347,440015270663,0.0909,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 51,995,908.96,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550500010348,440015271117,0.0909,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 49,995,908.42,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,51.74,0.0,0.0,0.0,51.74,0.0,0.0,0.0,0.0,0
550500010349,440015271171,0.0908,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 47,995,908.28,1,Žemės ūkio teritorijų zona,ZU_F,100.0,"0,05;0,8***",0,Z;KT,,,0.0,0,1,0,0,100.0,0.0,0.0,0.0,100.0,52.64,0.0,0.0,0.0,0
550500010350,440015271239,0.0921,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 45,995,921.27,3,Vandenų zona,H_F,44.1,0,0,H,Miškų ir miškingų teritorijų zona,MI_F,32.06,0,1,1,0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,32.06,1
550500010351,440015272625,0.1199,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 43,995,1199.44,4,Miškų ir miškingų teritorijų zona,MI_F,54.23,0,0,M;KT,Vandenų zona,H_F,25.52,1,1,1,0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,54.23,1
550500010352,440015272736,0.1166,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 41,995,1165.98,2,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,70.58,"0,2*",0,KT,Žemės ūkio teritorijų zona,ZU_F,29.42,1,1,0,0,78.12,0.0,0.0,0.0,95.86,41.79,0.0,0.0,0.0,0
550500010353,440015272782,0.1597,KlaipÓdos r. sav. BaiNiÖ k. GedminÖ g. 39,995,1596.92,2,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,63.22,"0,2*",0,KT,Žemės ūkio teritorijų zona,ZU_F,36.78,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
550500010354,440015272870,0.4368,KlaipÓdos r. sav. BaiNiÖ k.,995,4368.11,3,Vandenų zona,H_F,47.02,0,0,H,Miškų ir miškingų teritorijų zona,MI_F,44.71,0,1,1,0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,44.71,1
550500010355,440015272969,0.1752,KlaipÓdos r. sav. BaiNiÖ k.,995,1751.19,3,Žemės ūkio teritorijų zona,ZU_F,82.7,"0,05;0,8***",0,Z;KT,Miškų ir miškingų teritorijų zona,MI_F,9.19,0,1,1,0,50.96,0.0,0.0,0.0,50.96,33.72,0.0,0.0,9.19,1
550500010393,440018336362,5.9606,KlaipÓdos r. sav. BaiNiÖ k.,610,59605.8,4,Žemės ūkio teritorijų zona,ZU_F,44.23,"0,1;0,8***",0,Z;KT,Miškų ir miškingų teritorijų zona,MI_F,41.14,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.23,1
550500010608,440045544614,0.4021,KlaipÓdos r. sav. BaiNiÖ k.,710,4021.04,2,Žemės ūkio teritorijų zona,ZU_F,90.0,"0,05;0,8***",0,Z;KT,Miškų ir miškingų teritorijų zona,MI_F,10.0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.09,1
550500010612,440045702309,11.0393,KlaipÓdos r. sav. GedminÖ k.,710,110393.5,2,Miškų ir miškingų teritorijų zona,MI_F,78.85,0,0,M;KT,Žemės ūkio teritorijų zona,ZU_F,21.15,0,1,1,0,0.66,0.0,0.0,0.0,0.76,17.97,0.0,0.0,77.79,1
550500010613,440046423750,56.9338,KlaipÓdos r. sav. GedminÖ k.,710,569336.35,2,Miškų ir miškingų teritorijų zona,MI_F,93.85,0,0,M;KT,Žemės ūkio teritorijų zona,ZU_F,6.15,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.68,1
550500010614,440046464644,6.7769,KlaipÓdos r. sav. BaiNiÖ k.,710,67768.55,2,Miškų ir miškingų teritorijų zona,MI_F,95.69,0,0,M;KT,Žemės ūkio teritorijų zona,ZU_F,4.31,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.45,1
551000030102,551000030102,23.7775,KlaipÓdos r. sav. AlksniÖ k.,610,237775.34,2,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,96.9,"0,2*",0,KT,Miškų ir miškingų teritorijų zona,MI_F,3.1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,1
551000030174,551000030174,1.3,KlaipÓdos r. sav. AlksniÖ k. GobergiÕkÓs g. 69,610,13000.16,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
551000050916,440015766693,0.09,KlaipÓdos r. sav. ¾lapÕilÓs k. LaÕÖ g. 12,995,899.86,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
551000050918,440015766817,0.09,KlaipÓdos r. sav. ¾lapÕilÓs k. LaÕÖ g. 14,995,899.98,1,Ekstensyvaus užstatymo gyvenamoji zona,U_GG_E_F,100.0,"0,2*",0,KT,,,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
