bandymo_nr,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,realios_iteracijos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
21,"(64,)",tanh,adam,0.0001,0.0005,32,10000,True,0.2,20,47,0.9992,0.9975,0.9996,0.9975,0.9985,0.9992,0.9992,0.9992
23,"(64,)",tanh,adam,0.001,0.0005,32,10000,True,0.2,20,47,0.9988,0.9973,0.9975,0.9973,0.9974,0.9988,0.9988,0.9988
12,"(32,)",relu,adam,0.001,0.001,32,10000,True,0.2,20,83,0.9988,0.9938,0.9994,0.9938,0.9966,0.9988,0.9988,0.9988
22,"(64,)",tanh,adam,0.0001,0.001,32,10000,True,0.2,20,37,0.9984,0.9971,0.9955,0.9971,0.9963,0.9984,0.9984,0.9984
24,"(64,)",tanh,adam,0.001,0.001,32,10000,True,0.2,20,37,0.9984,0.9971,0.9955,0.9971,0.9963,0.9984,0.9984,0.9984
1,"(16,)",relu,adam,0.0001,0.0005,32,10000,True,0.2,20,102,0.998,0.9934,0.9985,0.9934,0.9959,0.998,0.998,0.998
13,"(32,)",tanh,adam,0.0001,0.0005,32,10000,True,0.2,20,43,0.9972,0.9946,0.9957,0.9946,0.9951,0.9972,0.9972,0.9972
2,"(16,)",relu,adam,0.0001,0.001,32,10000,True,0.2,20,80,0.998,0.9934,0.9968,0.9934,0.9951,0.998,0.998,0.998
16,"(32,)",tanh,adam,0.001,0.001,32,10000,True,0.2,20,61,0.998,0.9934,0.9968,0.9934,0.9951,0.998,0.998,0.998
9,"(32,)",relu,adam,0.0001,0.0005,32,10000,True,0.2,20,82,0.998,0.9913,0.999,0.9913,0.9951,0.998,0.998,0.998
11,"(32,)",relu,adam,0.001,0.0005,32,10000,True,0.2,20,105,0.998,0.9913,0.999,0.9913,0.9951,0.998,0.998,0.998
3,"(16,)",relu,adam,0.001,0.0005,32,10000,True,0.2,20,86,0.9976,0.9929,0.9966,0.9929,0.9948,0.9976,0.9976,0.9976
4,"(16,)",relu,adam,0.001,0.001,32,10000,True,0.2,20,56,0.9972,0.9927,0.9962,0.9927,0.9944,0.9972,0.9972,0.9972
15,"(32,)",tanh,adam,0.001,0.0005,32,10000,True,0.2,20,43,0.9968,0.9925,0.9955,0.9925,0.994,0.9968,0.9968,0.9968
10,"(32,)",relu,adam,0.0001,0.001,32,10000,True,0.2,20,104,0.9976,0.9894,0.9983,0.9894,0.9938,0.9976,0.9976,0.9976
14,"(32,)",tanh,adam,0.0001,0.001,32,10000,True,0.2,20,36,0.9968,0.9906,0.9957,0.9906,0.9931,0.9968,0.9968,0.9968
6,"(16,)",tanh,adam,0.0001,0.001,32,10000,True,0.2,20,68,0.9972,0.993,0.9927,0.993,0.9928,0.9972,0.9972,0.9972
8,"(16,)",tanh,adam,0.001,0.001,32,10000,True,0.2,20,59,0.9968,0.9909,0.9941,0.9909,0.9925,0.9968,0.9968,0.9968
5,"(16,)",tanh,adam,0.0001,0.0005,32,10000,True,0.2,20,48,0.996,0.9867,0.9931,0.9867,0.9899,0.996,0.996,0.996
7,"(16,)",tanh,adam,0.001,0.0005,32,10000,True,0.2,20,47,0.9956,0.9884,0.9911,0.9884,0.9897,0.9956,0.9956,0.9956
17,"(64,)",relu,adam,0.0001,0.0005,32,10000,True,0.2,20,38,0.9956,0.9826,0.9938,0.9826,0.9881,0.9956,0.9956,0.9956
19,"(64,)",relu,adam,0.001,0.0005,32,10000,True,0.2,20,38,0.9956,0.9826,0.9938,0.9826,0.9881,0.9956,0.9956,0.9956
18,"(64,)",relu,adam,0.0001,0.001,32,10000,True,0.2,20,28,0.9944,0.9838,0.9858,0.9838,0.9848,0.9944,0.9944,0.9944
20,"(64,)",relu,adam,0.001,0.001,32,10000,True,0.2,20,28,0.994,0.9836,0.9854,0.9836,0.9845,0.994,0.994,0.994
