bandymo_nr,hidden_layer_sizes,activation,solver,alpha,learning_rate_init,batch_size,max_iter,early_stopping,validation_fraction,n_iter_no_change,realios_iteracijos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
17,"(64,)",relu,adam,0.0001,0.0005,16,1000,True,0.2,20,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,"(64,)",relu,adam,0.001,0.0005,16,1000,True,0.2,20,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,"(64,)",tanh,adam,0.0001,0.0005,16,1000,True,0.2,20,26,0.8333,0.8333,0.7778,0.8333,0.7222,0.9444,0.8333,0.8472
22,"(64,)",tanh,adam,0.0001,0.001,16,1000,True,0.2,20,24,0.8333,0.8333,0.7778,0.8333,0.7222,0.9444,0.8333,0.8472
23,"(64,)",tanh,adam,0.001,0.0005,16,1000,True,0.2,20,26,0.8333,0.8333,0.7778,0.8333,0.7222,0.9444,0.8333,0.8472
24,"(64,)",tanh,adam,0.001,0.001,16,1000,True,0.2,20,24,0.8333,0.8333,0.7778,0.8333,0.7222,0.9444,0.8333,0.8472
18,"(64,)",relu,adam,0.0001,0.001,16,1000,True,0.2,20,29,0.9167,0.6667,0.6,0.6667,0.6296,0.85,0.9167,0.8796
20,"(64,)",relu,adam,0.001,0.001,16,1000,True,0.2,20,29,0.9167,0.6667,0.6,0.6667,0.6296,0.85,0.9167,0.8796
5,"(16,)",tanh,adam,0.0001,0.0005,16,1000,True,0.2,20,22,0.75,0.5,0.5667,0.5,0.4967,0.7417,0.75,0.7026
6,"(16,)",tanh,adam,0.0001,0.001,16,1000,True,0.2,20,22,0.75,0.5,0.5667,0.5,0.4967,0.7417,0.75,0.7026
7,"(16,)",tanh,adam,0.001,0.0005,16,1000,True,0.2,20,22,0.75,0.5,0.5667,0.5,0.4967,0.7417,0.75,0.7026
8,"(16,)",tanh,adam,0.001,0.001,16,1000,True,0.2,20,22,0.75,0.5,0.5667,0.5,0.4967,0.7417,0.75,0.7026
13,"(32,)",tanh,adam,0.0001,0.0005,16,1000,True,0.2,20,28,0.6667,0.4167,0.4259,0.4167,0.4028,0.6204,0.6667,0.6215
14,"(32,)",tanh,adam,0.0001,0.001,16,1000,True,0.2,20,25,0.6667,0.4167,0.4259,0.4167,0.4028,0.6204,0.6667,0.6215
15,"(32,)",tanh,adam,0.001,0.0005,16,1000,True,0.2,20,28,0.6667,0.4167,0.4259,0.4167,0.4028,0.6204,0.6667,0.6215
16,"(32,)",tanh,adam,0.001,0.001,16,1000,True,0.2,20,25,0.6667,0.4167,0.4259,0.4167,0.4028,0.6204,0.6667,0.6215
1,"(16,)",relu,adam,0.0001,0.0005,16,1000,True,0.2,20,22,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
2,"(16,)",relu,adam,0.0001,0.001,16,1000,True,0.2,20,37,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
3,"(16,)",relu,adam,0.001,0.0005,16,1000,True,0.2,20,22,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
4,"(16,)",relu,adam,0.001,0.001,16,1000,True,0.2,20,37,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
9,"(32,)",relu,adam,0.0001,0.0005,16,1000,True,0.2,20,29,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
10,"(32,)",relu,adam,0.0001,0.001,16,1000,True,0.2,20,25,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
11,"(32,)",relu,adam,0.001,0.0005,16,1000,True,0.2,20,29,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
12,"(32,)",relu,adam,0.001,0.001,16,1000,True,0.2,20,25,0.5833,0.3333,0.1944,0.3333,0.2456,0.3403,0.5833,0.4298
