db_sklypo_id,atviru_unikalus_nr,atviru_kadastro_nr,persidengimo_proc_nuo_seno,persidengimo_proc_nuo_naujo
555200050400,440023202622,5552/0005:0400,100.00000428721488,99.63393286349604
555200030328,440031233046,5552/0003:0328,100.00000000788712,99.99966359957148
555800130660,440003122921,5558/0013:0660,100.00000000502214,99.99999999983608
555800030706,440030886696,5558/0003:0706,100.00000000443276,99.99999999236434
551500040333,440046519388,5515/0004:0333,100.00000000429932,99.99950320929688
553000010103,553000010103,5530/0001:0103,100.00000000397596,100.0000000053928
552300020593,440009493892,5523/0002:0593,100.0000000035329,99.99999997636849
555800020344,440009154149,5558/0002:0344,100.00000000304144,99.9999999876685
556800110366,440046348978,5568/0011:0366,100.00000000284707,99.99999999261858
555200100114,555200100114,5552/0010:0114,100.00000000278636,99.99999999544096
554400060398,554400060019,5544/0006:0019,100.00000000252652,99.9999999986098
555800050458,440005085961,5558/0005:0458,100.0000000024751,99.99999999770554
551500040324,440046515666,5515/0004:0324,100.00000000239216,99.99999999734932
555800010082,555800010082,5558/0001:0082,100.00000000237578,99.99999999780952
551300230714,551300230714,5513/0023:0714,100.00000000235912,99.99999999881804
552300040857,440043137577,5523/0004:0857,100.0000000023546,99.99999999931984
552800090321,440019773965,5528/0009:0321,100.00000000231756,100.0000000016057
552300050339,440021792943,5523/0005:0339,100.0000000021478,100.00000000203606
555800051118,440012854738,5558/0005:1118,100.0000000021384,99.99999999483848
552800070282,440049719508,5528/0007:0282,100.00000000209246,99.9952898530744
555200100430,440008903982,5552/0010:0430,100.00000000208068,99.99952720531178
551800040143,551800040143,5518/0004:0143,100.00000000204712,99.99999999667666
551300080024,551300080024,5513/0008:0024,100.00000000202364,99.8719947478205
554800010064,440053325692,5548/0001:0064,100.00000000199914,99.99999998460008
553800020415,553800020415,5538/0002:0415,100.00000000199395,99.99999999884903
551000020559,440019823446,5510/0002:0559,100.0000000019909,99.99999999578812
555200130858,555200130858,5552/0013:0858,100.000000001956,99.99999999905783
555800021622,440053107368,5558/0002:1622,100.0000000019114,99.99999999124024
556800060366,440048511522,5568/0006:0366,100.0000000019027,100.00000000033484
554400140172,440008072282,5544/0014:0172,100.00000000188344,98.37181641994984
554400050954,440012930240,5544/0005:0954,100.00000000186844,99.99999999144194
551300080008,551300080008,5513/0008:0008,100.00000000185926,97.53247940221658
555200120342,555200120342,5552/0012:0342,100.0000000018203,100.00000000087894
552800070604,440014911012,5528/0007:0604,100.00000000182004,99.99999999549222
552300031026,440050662278,5523/0003:1026,100.0000000018136,99.99999998782508
552000150494,552000150494,5520/0015:0494,100.0000000017917,99.99862787436062
555500050039,555500050039,5555/0005:0039,100.0000000017726,99.999999997601
555200020189,440009785284,5552/0002:0189,100.00000000172132,99.99999999719942
556800050299,440018125612,5568/0005:0299,100.00000000167934,100.0000000015939
554400030062,554400030062,5544/0003:0062,100.0000000016754,99.99999999757864
551300230267,551300230267,5513/0023:0267,100.00000000164437,99.9999999992634
551000030710,440030611294,5510/0003:0710,100.00000000161673,99.99999999896175
552300020504,440008067914,5523/0002:0504,100.00000000161576,99.99999998873336
555500010281,440011298823,5555/0001:0281,100.00000000161462,96.60278566892778
551300060294,551300060294,5513/0006:0294,100.000000001592,100.00000000111322
550100010047,550100010047,5501/0001:0047,100.0000000015469,99.99999999092954
553300030476,440007173711,5533/0003:0476,100.0000000015448,99.99999999515536
554500030046,554500030046,5545/0003:0046,100.00000000151744,99.99999999736607
556300060329,440006840626,5563/0006:0329,100.00000000151311,100.00000000211212
553000050790,440012270590,5530/0005:0790,100.00000000149348,99.99716849164965
552300030616,440019970642,5523/0003:0616,100.0000000014927,99.99999999750798
555200050147,440004572398,5552/0005:0147,100.00000000148223,99.99999999127368
554400030216,554400030216,5544/0003:0216,100.00000000146407,99.99999999919996
556800010485,440022011347,5568/0001:0485,100.000000001427,99.9999999976232
551300170054,551300170054,5513/0017:0054,100.00000000141726,99.9999999994084
554500030428,440004712203,5545/0003:0428,100.00000000139472,96.01288014222172
553800030300,553800030300,5538/0003:0300,100.0000000013942,99.9999999979851
553800010374,553800010374,5538/0001:0374,100.00000000137304,99.99999999779573
555200120892,555200120892,5552/0012:0892,100.00000000132718,99.99999999935582
553500020539,440015637684,5535/0002:0539,100.00000000131917,99.99999999802807
